cluster,filename,file_type
0,4SF7D00109.h2k,.h2k
1,5K01D00187.h2k,.h2k
2,3D30D01916.h2k,.h2k
3,4F21D00543.h2k,.h2k
4,8536D00152.h2k,.h2k
5,7QAOD00049.h2k,.h2k
6,4SL4D01227.h2k,.h2k
7,1Q56D00060.h2k,.h2k
8,4S36D00009.h2k,.h2k
9,5163P00047.h2k,.h2k
10,1D02D00275.h2k,.h2k
11,3D60D00328.h2k,.h2k
12,3R47D20289.h2k,.h2k
13,4S70D00314.h2k,.h2k
14,5K06D00455.h2k,.h2k
15,1N01D00265.h2k,.h2k
16,4SR8D00362.h2k,.h2k
17,21GMD02780.h2k,.h2k
18,5P03D00225.h2k,.h2k
19,14J7D01184.h2k,.h2k
20,2348D00887.h2k,.h2k
21,7D17D00633.h2k,.h2k
22,3R42D25146.h2k,.h2k
23,223JD00241.h2k,.h2k
24,3R14D20493.h2k,.h2k
25,8319D00109.h2k,.h2k
26,7Q36D17406.h2k,.h2k
27,3D44D05053.h2k,.h2k
28,1580P00364.h2k,.h2k
29,2S97D02783.h2k,.h2k
30,9K20D00145.h2k,.h2k
31,1A2ED00034.h2k,.h2k
32,7Q75D23097.h2k,.h2k
33,2137D01139.h2k,.h2k
34,14P7D00090.h2k,.h2k
35,7Q74D20220.h2k,.h2k
36,7Q46D23417.h2k,.h2k
37,22X2D04367.h2k,.h2k
38,1561D00015.h2k,.h2k
39,227HD00115.h2k,.h2k
40,9L74D00116.h2k,.h2k
41,7Q51D19003.h2k,.h2k
42,3D14D03247.h2k,.h2k
43,2383D00037.h2k,.h2k
44,9F09P00289.h2k,.h2k
45,9W13D01136.h2k,.h2k
46,7Q54D23027.h2k,.h2k
47,34H9P00051.h2k,.h2k
48,22C9D00155.h2k,.h2k
49,2457D00562.h2k,.h2k
50,3109D00337.h2k,.h2k
51,1568D00251.h2k,.h2k
52,4C68D00757.h2k,.h2k
53,5E68D00360.h2k,.h2k
54,3Q65D28373.h2k,.h2k
55,3H67D00320.hse,.hse
56,2S5HD02430.h2k,.h2k
57,34C6D00081.h2k,.h2k
58,1A18D90073.h2k,.h2k
59,4G96D00027.h2k,.h2k
60,2103D00183.h2k,.h2k
61,4C68D00453.h2k,.h2k
62,2277D00487.h2k,.h2k
63,2151D00541.h2k,.h2k
64,1A16D00630.h2k,.h2k
65,4S04D02681.h2k,.h2k
66,4SK4D00184.h2k,.h2k
67,2112D00023.h2k,.h2k
68,22L4D01132.h2k,.h2k
69,22J4D00246.h2k,.h2k
70,4S07D01306.h2k,.h2k
71,22X1D05221.h2k,.h2k
72,3463D20085.h2k,.h2k
73,22L0D00124.h2k,.h2k
74,3R59D23073.h2k,.h2k
75,5E38D00110.h2k,.h2k
76,2277D00624.h2k,.h2k
77,14M3D00049.h2k,.h2k
78,2386D00283.h2k,.h2k
79,1227D00970.h2k,.h2k
80,2516D00264.h2k,.h2k
81,224FD00126.h2k,.h2k
82,5E11D00515.h2k,.h2k
83,9W29D00080.h2k,.h2k
84,1N13D00025.h2k,.h2k
85,3R52D93187.h2k,.h2k
86,7B10D00109.h2k,.h2k
87,3P01D14093.h2k,.h2k
88,9T36D01054.h2k,.h2k
89,7Q23D23167.h2k,.h2k
90,5E47D00267.h2k,.h2k
91,4SL4D02135.h2k,.h2k
92,14Z4D01330.h2k,.h2k
93,5D04D01522.h2k,.h2k
94,4G42D00694.h2k,.h2k
95,5EQ2D02954.h2k,.h2k
96,5EF9D00420.h2k,.h2k
97,2258D00126.h2k,.h2k
