cluster,eui_gj_m2_year,eui_source,annual_energy_gj,ers_rating_gj_year,ghg_tonnes_year,space_heating_gj,water_heating_gj,ventilation_gj,space_cooling_gj,design_heat_loss_kw,wall_heat_loss_gj,ceiling_heat_loss_gj,foundation_heat_loss_gj,windows_doors_heat_loss_gj,air_leakage_heat_loss_gj,floor_area_m2,year_built,air_leakage_ach_50pa
0,1.0176,calculated,201.7979,,,139.6228,,,,15.2332,41.8362,6.9158,23.7619,35.7011,31.9674,198.3000,1993,4.4488
1,0.7329,calculated,192.2273,,,133.2002,,,,15.2839,35.2968,7.0286,23.0932,37.3225,26.4867,262.3000,1994,3.4622
2,0.8203,calculated,146.5088,0.0000,0.0000,94.6332,0.0000,0.0000,0.0000,15.2133,19.7595,5.9977,75.3042,25.6678,20.7902,178.6000,1962,4.3191
3,0.7771,calculated,166.1381,,,106.1769,,,,12.7351,27.6572,6.0508,36.0685,25.0821,21.4438,213.8000,1985,3.9534
4,0.6200,reported,204.0832,204.0000,11.9000,162.8449,15.4465,0.1690,0.0000,16.7301,22.9487,13.1479,64.9496,38.4301,48.8799,326.6000,1995,4.0149
5,0.4400,reported,161.1376,161.0000,6.6000,100.1872,26.1137,0.2696,8.9448,18.3496,36.4803,7.2840,25.0058,42.7710,36.1559,368.8000,1978,3.9868
6,0.5100,reported,100.0918,100.0000,9.9000,44.5058,25.6826,0.1690,4.1119,9.4412,13.3288,6.6652,25.9995,13.9722,11.2560,195.7000,1998,2.3188
7,0.5000,reported,201.3796,201.0000,8.9000,153.1349,15.5330,0.1690,6.9205,21.7033,34.2452,10.2705,55.4819,42.6932,30.3882,402.1000,1992,4.6894
8,2.5388,calculated,344.5219,,,283.2442,,,,26.6346,84.7939,14.0382,87.1892,33.8955,28.0545,135.7000,1939,5.4218
9,0.2600,reported,78.5749,79.0000,2.5000,33.1334,13.8098,0.9375,0.0000,6.9273,14.4089,4.1044,12.7675,24.7839,18.5310,302.6000,2020,3.5000
10,0.5974,calculated,117.3860,,,65.9757,,,,10.7767,21.5192,13.2581,28.4051,25.7661,21.1089,196.5000,1973,3.1210
11,0.5897,calculated,175.4317,0.0000,0.0000,122.9694,0.0000,0.0000,0.0000,21.7817,27.9252,12.6900,47.6837,48.5723,58.6291,297.5000,1969,4.6956
12,0.8700,reported,161.2139,161.0000,8.4000,119.3357,16.1260,0.1294,0.0000,15.6754,16.7048,0.1246,73.7055,28.5067,19.9913,185.0000,1979,3.5854
13,0.7212,calculated,128.0150,,,77.0504,,,,10.8305,17.9816,7.8359,35.3410,18.0303,18.4078,177.5000,1970,5.8336
14,0.5706,calculated,256.0728,,,196.7165,,,,21.9883,42.6371,8.8328,53.8990,58.7200,45.1508,448.8000,1989,3.6422
15,0.4400,reported,90.8931,91.0000,0.3000,49.1631,15.9385,0.1690,0.0000,9.5471,21.4306,13.6147,16.9683,21.9418,16.3453,205.2000,1980,5.1844
16,0.8000,reported,187.9227,188.0000,14.2000,135.0825,27.0490,0.1690,0.0000,19.9365,29.3375,31.9746,40.8446,51.5654,24.9907,234.9000,1976,4.7086
17,0.4507,calculated,156.9892,0.0000,0.0000,107.0472,0.0000,0.0000,0.0000,14.3320,33.3238,7.1303,37.1626,45.2391,34.4408,348.3000,1989,3.8500
18,0.7795,calculated,150.3676,,,90.9952,,,,13.1789,28.1799,6.2330,17.5878,23.0241,36.3994,192.9000,1988,8.6432
19,0.7924,calculated,199.1981,,,149.1695,,,,15.2992,27.9355,9.2076,43.0736,43.0137,20.8201,251.4000,1960,6.3280
20,0.7176,calculated,274.5404,,,212.7173,,,,27.0860,38.7853,13.0687,45.5808,31.1251,74.5926,382.6000,1980,5.4400
21,0.7121,calculated,199.0245,,,139.7795,,,,13.6348,35.1628,6.1737,28.4921,37.2389,31.1303,279.5000,1988,4.8523
22,0.4400,reported,457.3507,457.0000,0.2000,150.5612,111.6462,2.4460,0.0000,40.1885,59.4582,17.7665,78.4962,125.7755,85.9983,1028.9000,1984,3.3878
23,0.5600,reported,131.5366,132.0000,6.2000,75.8674,24.6158,0.0791,5.3520,13.3414,14.4946,14.0686,39.5183,11.6716,22.2539,233.2796,1977,6.6377
24,1.7500,reported,854.6823,855.0000,36.8000,730.8176,46.0314,0.6471,0.0000,109.0058,62.4544,82.2965,103.0530,75.8017,381.4386,487.6000,1928,23.3400
25,0.9100,reported,171.5678,172.0000,7.5000,121.9876,23.9183,0.0395,0.0000,15.1534,30.2175,13.6001,28.5076,23.6295,32.5119,189.2000,1931,4.7900
26,0.9900,reported,172.4536,172.0000,8.3000,117.0029,24.6127,1.4139,3.8019,13.4920,17.4111,7.9209,29.9286,22.1206,56.6509,173.9145,1967,11.2528
27,0.6721,calculated,151.8885,0.0000,0.0000,99.9616,0.0000,0.0000,0.0000,13.9424,28.5974,9.3635,51.9567,29.6440,25.9757,226.0000,1954,3.6975
28,0.4200,reported,123.9483,124.0000,12.1000,81.9931,15.6991,0.6336,0.0000,13.4166,37.6994,5.6909,25.7337,27.8380,30.1415,296.7000,2019,2.5000
29,0.6500,reported,142.5012,143.0000,0.1000,84.7970,20.6571,0.1690,6.1839,18.3656,19.9376,7.4949,66.0275,22.2021,27.1591,220.0000,1969,8.0626
30,0.6000,reported,117.6852,118.0000,4.9000,65.7587,26.1351,0.1690,0.0000,10.2277,22.2767,6.5704,30.9666,14.8950,13.7774,197.4000,1971,3.2825
