ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,302.7829765996302,302.8279724121094,52.93497124578895,53.65190124511719,44.05746305055524,44.057464599609375,118.3187577273398,118.24930572509766,0,2.1532004098831148e-20,33.20799446467259,33.20760726928711
Test_1,307.6904753802702,308.5419616699219,188.0020644048956,187.4652099609375,44.05746305055524,44.057464599609375,84.55496194462404,84.03878784179688,0,2.1532004098831148e-20,33.20799446467259,33.20760726928711
Test_2,391.3107836798585,390.6576843261719,229.105273306791,225.3976593017578,44.05746305055524,44.057464599609375,109.5836027268293,109.52772521972656,0,2.1532004098831148e-20,33.20799446467259,33.20760726928711
Test_3,332.0436474177924,332.2186279296875,246.0691235353501,254.2115478515625,44.05746305055524,44.057464599609375,84.55496194462404,84.39070129394531,0,2.1532004098831148e-20,33.20799446467259,33.20760726928711
Test_4,319.0724923719105,318.1711120605469,221.1278229602658,226.54214477539062,44.05746305055524,44.057464599609375,80.10004423724776,80.13603973388672,0,2.1532004098831148e-20,33.20799446467259,33.20760726928711
Test_5,313.826975646828,313.89239501953125,106.0707115391159,105.90088653564453,44.05746305055524,44.057464599609375,61.92080398362087,61.92485427856445,0,2.1532004098831148e-20,33.20799446467259,33.20760726928711
Test_6,303.9393836276812,303.64727783203125,50.78039042206871,51.275108337402344,44.05746305055524,44.057464599609375,103.3393450618754,103.75715637207031,0,2.1532004098831148e-20,33.20799446467259,33.20760726928711
Test_7,486.6307097242545,487.00665283203125,203.9660394051792,217.0159912109375,44.05746305055524,44.057464599609375,109.5836027268293,109.27925109863281,0,2.1532004098831148e-20,33.20799446467259,33.20760726928711
Test_8,441.7333061104116,441.5037536621094,67.17142500652216,66.19519805908203,44.05746305055524,44.057464599609375,119.6152493733057,118.05880737304688,0,2.1532004098831148e-20,33.20799446467259,33.20760726928711
Test_9,343.2991912523678,342.55889892578125,150.6760358888851,154.95472717285156,44.05746305055524,44.057464599609375,73.25971801590272,73.36397552490234,0,2.1532004098831148e-20,33.20799446467259,33.20760726928711
