ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,312.5440954617121,312.09136962890625,88.16880480030852,90.49801635742188,42.45528067966561,42.45528030395508,64.99188983791018,65.10377502441406,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_1,301.5290207688207,301.71051025390625,68.9562278104831,69.1298599243164,42.45528067966561,42.45528030395508,75.43585031930219,75.41647338867188,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_2,296.9941357289504,297.8137512207031,90.5576161794898,93.90232849121094,42.45528067966561,42.45528030395508,88.70248749447035,88.74581909179688,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_3,291.0328830208369,291.2776184082031,47.97019090073842,48.25554275512695,42.45528067966561,42.45528030395508,61.01791041390184,61.00654220581055,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_4,311.106384909427,310.7983093261719,82.26256507979718,84.72032928466797,42.45528067966561,42.45528030395508,51.72525266274203,51.824928283691406,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_5,312.215718968705,312.81207275390625,138.753530472658,137.90432739257812,42.45528067966561,42.45528030395508,51.72525266274203,51.7451057434082,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_6,294.6886945474756,294.998291015625,46.7979038350291,46.52589797973633,42.45528067966561,42.45528030395508,77.12310432050452,77.4472885131836,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_7,310.4371547509669,310.7330627441406,230.6133097401345,234.7852020263672,42.45528067966561,42.45528030395508,75.43585031930219,75.43620300292969,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_8,332.1349576343281,333.3554992675781,210.4320504531482,209.36831665039062,42.45528067966561,42.45528030395508,51.72525266274203,51.78171157836914,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_9,340.933632785472,340.3738708496094,212.0070099023378,203.0647735595703,42.45528067966561,42.45528030395508,69.62715940154943,69.51399230957031,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_10,334.0428307301414,334.28057861328125,59.08848583840927,54.843990325927734,42.45528067966561,42.45528030395508,84.728508070462,84.74071502685547,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_11,296.7899638162,296.1773681640625,168.8030988759202,171.36270141601562,42.45528067966561,42.45528030395508,82.89379657671759,82.79447174072266,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_12,297.2561563503136,298.1326599121094,215.0446342487041,216.9613037109375,42.45528067966561,42.45528030395508,64.99188983791018,64.9970474243164,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_13,287.1144837286328,287.33331298828125,70.92194961490908,71.5113296508789,42.45528067966561,42.45528030395508,51.72525266274203,51.705108642578125,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_14,360.0940325087057,361.5505065917969,82.32268236521818,87.2789306640625,42.45528067966561,42.45528030395508,51.72525266274203,51.649986267089844,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_15,304.4747677544493,303.8581237792969,131.2848084754029,134.26388549804688,42.45528067966561,42.45528030395508,88.70248749447035,88.65287780761719,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_16,318.0436927893286,318.7326965332031,103.7006159186035,103.16682434082031,42.45528067966561,42.45528030395508,64.99188983791018,65.24504852294922,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_17,321.2633704245641,321.9911804199219,45.69821122718663,45.347713470458984,42.45528067966561,42.45528030395508,89.52314515488708,88.47541809082031,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_18,314.7327049375574,313.9246826171875,51.26473157064915,51.872562408447266,42.45528067966561,42.45528030395508,85.88775081952338,85.83714294433594,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_19,299.0880321230476,299.55718994140625,52.88619684440966,53.43437957763672,42.45528067966561,42.45528030395508,86.11517564455939,86.01864624023438,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_20,399.7181293315638,399.2052307128906,54.77421989315003,55.26850128173828,42.45528067966561,42.45528030395508,76.11415478499563,76.93408203125,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_21,348.4380848674584,348.32623291015625,48.88159163348873,49.3507194519043,42.45528067966561,42.45528030395508,101.1150055012988,101.07079315185547,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_22,293.6916550402105,294.4181823730469,48.94794750513265,49.45205307006836,42.45528067966561,42.45528030395508,68.82748607660984,68.90161895751953,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_23,301.1870328149635,301.49005126953125,62.70516441510419,63.89106369018555,42.45528067966561,42.45528030395508,66.32070870339493,65.06329345703125,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_24,276.6364945951158,276.8653564453125,40.53946756502308,39.90957260131836,42.45528067966561,42.45528030395508,67.10903914429282,67.2293930053711,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_25,356.9021449393723,356.8202819824219,109.5983484760835,107.25922393798828,42.45528067966561,42.45528030395508,88.70248749447035,88.82366943359375,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_26,301.370787536439,302.58721923828125,192.2737945349985,185.97317504882812,42.45528067966561,42.45528030395508,69.62715940154943,69.48463439941406,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_27,309.7838046301653,309.9280090332031,328.0078492757568,318.9310302734375,42.45528067966561,42.45528030395508,93.33718991390752,93.94146728515625,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_28,320.7121062601377,321.4932861328125,68.4401265865859,69.81948852539062,42.45528067966561,42.45528030395508,91.1962205510373,91.34385681152344,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_29,304.6545524665101,303.9132995605469,38.68263744739738,39.543453216552734,42.45528067966561,42.45528030395508,66.88048003085264,67.25009155273438,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_30,297.071267340434,300.50860595703125,38.36673812683613,39.52650833129883,42.45528067966561,42.45528030395508,60.44509476979617,60.83643341064453,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_31,281.3885958643845,281.5086975097656,47.5748913918853,47.10660171508789,42.45528067966561,42.45528030395508,85.40397681514501,85.20791625976562,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_32,365.1297058790168,365.7509765625,56.32365785324576,55.71204376220703,42.45528067966561,42.45528030395508,106.9843808486746,107.22114562988281,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_33,322.5989950204739,322.05755615234375,63.50200201903336,64.89041900634766,42.45528067966561,42.45528030395508,77.32500765644673,77.2662124633789,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_34,331.1827225190277,330.83221435546875,39.20044010390082,39.02592849731445,42.45528067966561,42.45528030395508,64.25913952881659,65.17237854003906,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_35,353.2060661743855,353.58221435546875,48.75114846700922,49.652896881103516,42.45528067966561,42.45528030395508,90.02109776431756,89.9826889038086,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_36,260.3532174090584,259.85076904296875,65.97645217272944,67.06449127197266,42.45528067966561,42.45528030395508,75.43585031930219,75.48667907714844,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_37,308.9132382799651,309.2553405761719,86.92505756513651,91.5013198852539,42.45528067966561,42.45528030395508,58.30355826272388,58.12184143066406,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_38,296.0237519991833,294.5840759277344,47.69796168373771,48.03855514526367,42.45528067966561,42.45528030395508,100.8268962466397,100.99810028076172,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_39,312.7794603055773,313.21453857421875,165.031022787854,165.54217529296875,42.45528067966561,42.45528030395508,75.43585031930219,75.36614227294922,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_40,307.3530245800297,307.7058410644531,66.17665407606538,66.87999725341797,42.45528067966561,42.45528030395508,91.12362609317044,91.16157531738281,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_41,326.7073876203764,325.878662109375,46.17688093374621,45.69857406616211,42.45528067966561,42.45528030395508,76.91212667732897,77.00808715820312,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_42,270.3905354975556,270.7124328613281,147.1155045881966,157.02767944335938,42.45528067966561,42.45528030395508,82.89379657671759,82.79978942871094,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_43,325.7517496398634,325.55889892578125,59.2892548859473,57.42818832397461,42.45528067966561,42.45528030395508,76.32399813976701,76.60114288330078,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_44,299.8287224509704,299.646728515625,184.3831172513923,190.92308044433594,42.45528067966561,42.45528030395508,82.01415591928404,82.39923095703125,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_45,305.2103537845533,305.21026611328125,94.8622406733136,95.5918960571289,42.45528067966561,42.45528030395508,58.30355826272388,58.31501388549805,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_46,426.4742913533195,426.8678283691406,57.70351969691814,58.02394485473633,42.45528067966561,42.45528030395508,99.0625106339538,99.32479095458984,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_47,316.4335703996098,315.89996337890625,52.37236419732081,52.50336456298828,42.45528067966561,42.45528030395508,75.71828813194043,75.98391723632812,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_48,287.884665555064,288.38836669921875,36.14069713365321,35.65764236450195,42.45528067966561,42.45528030395508,56.5465455246651,57.38427734375,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_49,311.6185161239097,311.3799743652344,74.04691416839646,75.58856964111328,42.45528067966561,42.45528030395508,51.72525266274203,51.69972229003906,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_50,353.1873504157167,353.117919921875,195.1044112476038,190.64486694335938,42.45528067966561,42.45528030395508,106.6038270890757,106.5888671875,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_51,331.8638627057315,331.35626220703125,62.54806547112669,62.017555236816406,42.45528067966561,42.45528030395508,79.02417168589285,78.9975357055664,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_52,305.9317612096052,306.082763671875,112.9598121618403,111.1551284790039,42.45528067966561,42.45528030395508,82.01415591928404,82.20735168457031,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_53,304.9375574233505,304.6481018066406,53.25767629677522,54.05438232421875,42.45528067966561,42.45528030395508,107.4664534204467,107.60540008544922,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_54,325.8612084708658,325.8164978027344,266.3184401265866,264.0774841308594,42.45528067966561,42.45528030395508,76.2048978573292,75.89616394042969,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_55,309.8002518120257,309.1429443359375,137.2908655754812,151.21949768066406,42.45528067966561,42.45528030395508,82.01415591928404,81.89313507080078,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_56,287.0209049352889,287.18353271484375,139.4613264368598,138.04209899902344,42.45528067966561,42.45528030395508,75.43585031930219,75.3868408203125,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_57,304.4407391023241,305.66888427734375,68.71802724560747,72.37775421142578,42.45528067966561,42.45528030395508,114.9158925148308,114.9393081665039,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_58,282.3998139767017,282.5359802246094,72.27515568108348,73.81527709960938,42.45528067966561,42.45528030395508,64.99188983791018,65.00463104248047,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_59,288.1994305872211,288.8898620605469,96.00730481732283,99.74617767333984,42.45528067966561,42.45528030395508,51.72525266274203,51.75421142578125,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_60,301.083245425982,301.0281066894531,46.13547940699402,45.82670211791992,42.45528067966561,42.45528030395508,60.44509476979617,60.474525451660156,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_61,425.180635428364,424.72845458984375,96.3867242885176,94.71724700927734,42.45528067966561,42.45528030395508,51.72525266274203,51.802303314208984,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_62,287.4961717766359,287.75927734375,193.0275291795692,195.56031799316406,42.45528067966561,42.45528030395508,75.43585031930219,75.45886993408203,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_63,305.4218985719309,306.02178955078125,158.3455269336781,153.79385375976562,42.45528067966561,42.45528030395508,51.72525266274203,51.75569534301758,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_64,332.2625650797972,332.378173828125,88.7036217828745,89.79927825927734,42.45528067966561,42.45528030395508,51.72525266274203,51.94017791748047,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_65,302.066106328195,302.2666015625,175.7789725615635,175.13949584960938,42.45528067966561,42.45528030395508,69.62715940154943,69.58381652832031,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_66,265.8726647837479,265.13116455078125,138.5811186352242,141.68670654296875,42.45528067966561,42.45528030395508,82.89379657671759,82.78238677978516,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
Test_67,443.781830968342,443.3283386230469,68.97437642494981,70.53688049316406,42.45528067966561,42.45528030395508,96.27272830389856,96.45276641845703,0,-2.2705180467565755e-20,32.73159333492134,32.73123550415039
