ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,292.1541271083586,292.2807922363281,49.31488980388153,50.32861328125,40.68919363437347,40.68919372558594,81.02845929606062,80.66386413574219,0,3.614822897709346e-20,33.18247297557877,33.18208694458008
Test_1,308.1005206383775,310.031494140625,34.84193691087896,36.60268783569336,40.68919363437347,40.68919372558594,110.4416919045837,110.474853515625,0,3.614822897709346e-20,33.18247297557877,33.18208694458008
Test_2,293.1971052959926,292.0207214355469,37.5755719649278,35.24311447143555,40.68919363437347,40.68919372558594,98.51578362314402,98.1893539428711,0,3.614822897709346e-20,33.18247297557877,33.18208694458008
Test_3,316.9547759213257,316.830810546875,59.31477637504112,61.418861389160156,40.68919363437347,40.68919372558594,52.30260546046438,52.88101577758789,0,3.614822897709346e-20,33.18247297557877,33.18208694458008
Test_4,344.8962693254387,344.9363098144531,49.59165617449893,49.80055618286133,40.68919363437347,40.68919372558594,76.01603883803496,76.26283264160156,0,3.614822897709346e-20,33.18247297557877,33.18208694458008
Test_5,397.0775059266569,398.2169494628906,45.34998468710654,45.07596206665039,40.68919363437347,40.68919372558594,87.90735132314742,87.67035675048828,0,3.614822897709346e-20,33.18247297557877,33.18208694458008
Test_6,330.9144633114416,330.10302734375,37.39522010866483,37.23271560668945,40.68919363437347,40.68919372558594,54.82186000612516,54.708709716796875,0,3.614822897709346e-20,33.18247297557877,33.18208694458008
Test_7,365.8488447272604,365.45916748046875,40.3931443608852,40.037540435791016,40.68919363437347,40.68919372558594,98.84302582774696,98.78314971923828,0,3.614822897709346e-20,33.18247297557877,33.18208694458008
Test_8,303.8168804800309,304.1330871582031,65.32480348453397,69.17031860351562,40.68919363437347,40.68919372558594,61.99056272047731,61.57291793823242,0,3.614822897709346e-20,33.18247297557877,33.18208694458008
Test_9,323.5620058756139,323.3948669433594,46.69808645546217,48.10649490356445,40.68919363437347,40.68919372558594,81.2417055160445,81.50357818603516,0,3.614822897709346e-20,33.18247297557877,33.18208694458008
