ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,276.3303887883979,276.13336181640625,60.36891351715205,61.55240249633789,40.68927234967029,40.689273834228516,72.83808831082655,72.83000183105469,0,5.914050977966831e-21,26.53312533297603,26.532825469970703
Test_1,242.8231901257253,242.50685119628906,132.3590494511279,133.8596954345703,40.68927234967029,40.689273834228516,58.45192862907985,57.662662506103516,0,5.914050977966831e-21,26.53312533297603,26.532825469970703
Test_2,353.6478222171179,353.90679931640625,38.4073297794622,36.86368179321289,40.68927234967029,40.689273834228516,40.789125281933,42.396244049072266,0,5.914050977966831e-21,26.53312533297603,26.532825469970703
Test_3,256.1135197042056,256.5328674316406,43.03406165360284,43.59264373779297,40.68927234967029,40.689273834228516,69.03793454369124,70.58430480957031,0,5.914050977966831e-21,26.53312533297603,26.532825469970703
Test_4,380.9778568944781,382.42578125,60.74120863520501,58.551116943359375,40.68927234967029,40.689273834228516,66.73876495002568,66.37838745117188,0,5.914050977966831e-21,26.53312533297603,26.532825469970703
Test_5,255.0680945954999,254.55079650878906,54.03383515014627,52.29246139526367,40.68927234967029,40.689273834228516,47.75681823257119,48.03090286254883,0,5.914050977966831e-21,26.53312533297603,26.532825469970703
Test_6,277.0181936508848,276.9110107421875,40.59260960693675,40.197364807128906,40.68927234967029,40.689273834228516,76.17949282366865,76.44693756103516,0,5.914050977966831e-21,26.53312533297603,26.532825469970703
Test_7,273.1676348891888,272.96429443359375,232.4898472218235,222.55267333984375,40.68927234967029,40.689273834228516,53.59773624151011,54.08700942993164,0,5.914050977966831e-21,26.53312533297603,26.532825469970703
Test_8,348.1581440753395,347.8117370605469,58.47617406950147,58.18172073364258,40.68927234967029,40.689273834228516,40.8749413802674,41.26348876953125,0,5.914050977966831e-21,26.53312533297603,26.532825469970703
Test_9,250.5051665119425,250.23745727539062,194.884531089992,191.06198120117188,40.68927234967029,40.689273834228516,55.83597321516872,56.096763610839844,0,5.914050977966831e-21,26.53312533297603,26.532825469970703
