ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,589.6607715783707,589.3894653320312,153.3296815087253,154.87615966796875,76.40269191642538,76.40269470214844,386.925815791533,383.4979553222656,0,-2.5869818394828785e-20,20.24023789028876,20.240188598632812
Test_1,554.1435167070975,553.3612060546875,12.79442835902653,13.106945037841797,76.40269191642538,76.40269470214844,352.2145707801862,354.2333679199219,0,-2.5869818394828785e-20,20.24023789028876,20.240188598632812
Test_2,660.6600672979106,660.9868774414062,106.346349479615,109.31548309326172,76.40269191642538,76.40269470214844,135.9261288050708,136.34214782714844,0,-2.5869818394828785e-20,20.24023789028876,20.240188598632812
Test_3,573.4271069723766,572.4594116210938,196.899209640817,218.6192626953125,76.40269191642538,76.40269470214844,397.6876124892402,403.40277099609375,0,-2.5869818394828785e-20,20.24023789028876,20.240188598632812
Test_4,682.8077314343846,681.7427978515625,216.4351670709758,219.81112670898438,76.40269191642538,76.40269470214844,112.1116675796228,111.60560607910156,0,-2.5869818394828785e-20,20.24023789028876,20.240188598632812
Test_5,562.0216761874951,561.7577514648438,12.14492526801784,12.585277557373047,76.40269191642538,76.40269470214844,527.615619375538,528.6552734375,0,-2.5869818394828785e-20,20.24023789028876,20.240188598632812
Test_6,533.0816182799906,530.9306640625,77.21457078018624,70.26798248291016,76.40269191642538,76.40269470214844,125.1643321073636,123.67955017089844,0,-2.5869818394828785e-20,20.24023789028876,20.240188598632812
Test_7,518.5656154628688,519.1624145507812,12.50097816730574,12.07137680053711,76.40269191642538,76.40269470214844,319.6826825260192,309.6676330566406,0,-2.5869818394828785e-20,20.24023789028876,20.240188598632812
Test_8,505.1999373972924,505.4654541015625,12.16644494874403,13.453166961669922,76.40269191642538,76.40269470214844,280.0160419438141,277.9219665527344,0,-2.5869818394828785e-20,20.24023789028876,20.240188598632812
Test_9,582.7099147038109,582.5441284179688,12.48141482119102,11.744037628173828,76.40269191642538,76.40269470214844,310.6522419594647,308.6358947753906,0,-2.5869818394828785e-20,20.24023789028876,20.240188598632812
