ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,536.4406448078879,536.561767578125,17.58744815713279,16.946752548217773,71.74661554112215,71.74661254882812,550.6221144064481,548.4976806640625,0,1.3865921979475566e-20,19.79810626809609,19.798053741455078
Test_1,517.7674309413882,518.4788818359375,165.4746067767431,166.22781372070312,71.74661554112215,71.74661254882812,127.06002034588,127.95350646972656,0,1.3865921979475566e-20,19.79810626809609,19.798053741455078
Test_2,528.378589874012,528.5386962890625,72.99084435401831,71.54072570800781,71.74661554112215,71.74661254882812,114.9424837624227,114.19818115234375,0,1.3865921979475566e-20,19.79810626809609,19.798053741455078
Test_3,688.6317395727365,689.3513793945312,271.2223178652476,263.4588317871094,71.74661554112215,71.74661254882812,136.5149855231239,137.8721466064453,0,1.3865921979475566e-20,19.79810626809609,19.798053741455078
Test_4,519.2757649268331,519.733154296875,88.0957038891932,87.84210205078125,71.74661554112215,71.74661254882812,154.2432897722827,156.0506591796875,0,1.3865921979475566e-20,19.79810626809609,19.798053741455078
Test_5,567.3663823460364,566.9964599609375,105.5892479849753,103.7287826538086,71.74661554112215,71.74661254882812,114.9424837624227,114.89299011230469,0,1.3865921979475566e-20,19.79810626809609,19.798053741455078
Test_6,513.2209093043274,513.2642822265625,72.99084435401831,74.98755645751953,71.74661554112215,71.74661254882812,154.2432897722827,153.87509155273438,0,1.3865921979475566e-20,19.79810626809609,19.798053741455078
Test_7,507.9525001956334,507.8680419921875,72.99084435401831,73.2188720703125,71.74661554112215,71.74661254882812,127.06002034588,127.3236083984375,0,1.3865921979475566e-20,19.79810626809609,19.798053741455078
Test_8,570.9190860004695,570.1324462890625,15.50982079974959,15.32221794128418,71.74661554112215,71.74661254882812,305.9316065419829,316.31634521484375,0,1.3865921979475566e-20,19.79810626809609,19.798053741455078
Test_9,514.2499413099616,513.8207397460938,14.70576727443462,14.526357650756836,71.74661554112215,71.74661254882812,308.2635573988575,313.2126770019531,0,1.3865921979475566e-20,19.79810626809609,19.798053741455078
