ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,686.3017450504734,686.6674194335938,78.11057203224038,77.04182434082031,82.21496204710853,82.2149658203125,159.9655685108381,161.0713348388672,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_1,607.3303857891854,607.6765747070312,17.57962281868691,17.849525451660156,82.21496204710853,82.2149658203125,338.6649972611315,329.54791259765625,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_2,603.3746772047891,602.6829833984375,16.30800532123014,16.240196228027344,82.21496204710853,82.2149658203125,330.1021206667188,322.5941162109375,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_3,589.5140464825104,589.4391479492188,149.3191955552078,152.9321746826172,82.21496204710853,82.2149658203125,417.2803036231317,415.5166931152344,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_4,655.4268722122232,655.3943481445312,18.21543156741529,18.486900329589844,82.21496204710853,82.2149658203125,439.9894357930981,436.50909423828125,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_5,732.8370764535566,731.3942260742188,102.5940996948118,98.27466583251953,82.21496204710853,82.2149658203125,114.8622740433524,114.35372161865234,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_6,628.4235855700758,627.7186889648438,193.3699820017216,195.1746368408203,82.21496204710853,82.2149658203125,114.8622740433524,116.62288665771484,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_7,574.9510916347132,575.78466796875,86.18436497378511,87.01153564453125,82.21496204710853,82.2149658203125,159.9655685108381,159.697021484375,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_8,607.3108224430706,606.8779907226562,15.03638782377338,15.303984642028809,82.21496204710853,82.2149658203125,286.3095703889193,286.6091003417969,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_9,687.4638078096878,688.0811157226562,178.7287737694655,172.71414184570312,82.21496204710853,82.2149658203125,140.167462242742,137.65966796875,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_10,577.3397761953204,577.5404663085938,16.30800532123014,15.544783592224121,82.21496204710853,82.2149658203125,288.7902026762657,288.6004943847656,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_11,613.7960716801001,613.8563842773438,16.01259879489788,15.554678916931152,82.21496204710853,82.2149658203125,509.8364504264809,512.249755859375,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_12,601.6315830659676,600.9984741210938,19.19751154237421,18.831222534179688,82.21496204710853,82.2149658203125,632.3362547930197,611.4468383789062,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_13,681.6671883558963,680.4116821289062,70.4182643399327,71.78618621826172,82.21496204710853,82.2149658203125,140.167462242742,140.33766174316406,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_14,570.1052508020972,570.3181762695312,18.53431410908522,18.021774291992188,82.21496204710853,82.2149658203125,571.1401518115658,566.1729736328125,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_15,562.2094843101964,561.8168334960938,18.53822677830816,18.673583984375,82.21496204710853,82.2149658203125,433.6274356365913,429.900634765625,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_16,585.9828625088035,586.3587646484375,221.547069410752,219.39801025390625,82.21496204710853,82.2149658203125,114.8622740433524,114.55110931396484,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_17,579.1317786994288,579.17626953125,15.71523593395414,15.867156028747559,82.21496204710853,82.2149658203125,294.6846388606307,298.8869323730469,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_18,549.5539557085843,549.1528930664062,16.30800532123014,16.07170867919922,82.21496204710853,82.2149658203125,532.7451287268174,532.6586303710938,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_19,640.0872525236716,639.934814453125,238.6532592534627,251.95579528808594,82.21496204710853,82.2149658203125,129.0339619688552,128.24171447753906,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
Test_20,535.1690273104311,534.4337768554688,16.30800532123014,16.04657745361328,82.21496204710853,82.2149658203125,293.1254401752876,294.8486022949219,0,-6.0200686329703495e-21,20.36739964003443,20.367351531982422
