ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,258.522066029646,258.5357360839844,33.91905549430356,35.126155853271484,44.50199579402997,44.50199508666992,70.8996896565805,70.94702911376953,0,3.444030699953103e-21,15.00150577810446,15.001348495483398
Test_1,258.3742956021071,258.3367919921875,55.45397933766181,53.554019927978516,44.50199579402997,44.50199508666992,61.34667605863858,62.40144348144531,0,3.444030699953103e-21,15.00150577810446,15.001348495483398
Test_2,262.1532882110336,261.946044921875,128.1182367593614,132.0755615234375,44.50199579402997,44.50199508666992,48.51119380129855,48.48444366455078,0,3.444030699953103e-21,15.00150577810446,15.001348495483398
Test_3,251.4406978643473,251.33648681640625,142.4131753031974,143.36822509765625,44.50199579402997,44.50199508666992,58.62925701335293,58.55316162109375,0,3.444030699953103e-21,15.00150577810446,15.001348495483398
Test_4,256.9450824860141,258.3429260253906,28.50067887623015,29.51380729675293,44.50199579402997,44.50199508666992,60.02682326758953,60.52234649658203,0,3.444030699953103e-21,15.00150577810446,15.001348495483398
Test_5,265.1192882518682,265.26348876953125,141.247600963698,143.62796020507812,44.50199579402997,44.50199508666992,58.62925701335293,58.62569046020508,0,3.444030699953103e-21,15.00150577810446,15.001348495483398
Test_6,267.4224907101147,267.4253234863281,45.03118747192617,46.28621292114258,44.50199579402997,44.50199508666992,39.58167442525215,39.59174346923828,0,3.444030699953103e-21,15.00150577810446,15.001348495483398
Test_7,254.2344266813672,254.01126098632812,124.0542947854139,125.11653900146484,44.50199579402997,44.50199508666992,54.95477561354078,54.92943572998047,0,3.444030699953103e-21,15.00150577810446,15.001348495483398
Test_8,378.6665696843481,380.49945068359375,36.210390379354,36.897300720214844,44.50199579402997,44.50199508666992,37.96666360406714,36.97220993041992,0,3.444030699953103e-21,15.00150577810446,15.001348495483398
Test_9,263.5692300624771,263.2458801269531,142.1760790559026,141.61309814453125,44.50199579402997,44.50199508666992,67.26298031769366,67.31645202636719,0,3.444030699953103e-21,15.00150577810446,15.001348495483398
