ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,281.223919601621,281.37567138671875,9.116071446492407,8.847871780395508,83.29188569685219,83.29188537597656,192.4938631405065,195.47476196289062,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_1,268.8843661120913,268.6487121582031,125.1387442068649,125.31974792480469,83.29188569685219,83.29188537597656,59.10734034631357,58.808406829833984,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_2,273.839616714738,273.83807373046875,130.6100329373228,130.8177947998047,83.29188569685219,83.29188537597656,55.27689630463712,55.4025764465332,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_3,349.4005648118599,349.3116149902344,68.89861687330271,68.47804260253906,83.29188569685219,83.29188537597656,54.06457802693193,54.014896392822266,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_4,283.8577011314302,283.9448547363281,7.93546613035633,7.834653377532959,83.29188569685219,83.29188537597656,234.942264345599,234.5644989013672,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_5,298.0952151563871,298.0513916015625,78.30733071199613,77.86692810058594,83.29188569685219,83.29188537597656,44.56714818182366,44.8182258605957,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_6,361.5654962978128,361.0951232910156,8.649409195554567,8.263261795043945,83.29188569685219,83.29188537597656,306.7392050483824,313.19757080078125,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_7,302.0763961229901,301.94024658203125,9.299524907721304,9.436166763305664,83.29188569685219,83.29188537597656,298.6562134322457,296.5121765136719,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_8,265.8953191267294,265.7911376953125,6.887332679002608,6.8764967918396,83.29188569685219,83.29188537597656,180.8060310827166,181.5530242919922,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_9,279.4323379879129,280.10845947265625,9.025549005557798,9.296663284301758,83.29188569685219,83.29188537597656,244.6646956458907,239.90902709960938,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_10,319.7324871191183,321.1692199707031,145.1574508398917,141.19442749023438,83.29188569685219,83.29188537597656,54.06457802693193,53.93107223510742,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_11,273.3296000353258,273.438720703125,8.028397150650617,7.779073238372803,83.29188569685219,83.29188537597656,248.2053073046191,248.02017211914062,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_12,286.3983509259984,286.3572082519531,138.9589718577573,139.65504455566406,83.29188569685219,83.29188537597656,55.27689630463712,55.075008392333984,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_13,354.7991947316341,355.3350524902344,8.217269915438793,7.93988561630249,83.29188569685219,83.29188537597656,264.296825291689,262.4636535644531,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_14,278.3255957721404,278.802001953125,43.06178608202417,43.50691223144531,83.29188569685219,83.29188537597656,44.56714818182366,44.634281158447266,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_15,294.6754338955359,294.7982177734375,93.16826536121664,92.91202545166016,83.29188569685219,83.29188537597656,53.44015382793511,53.47086715698242,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_16,277.5955955112109,277.49871826171875,117.2923955128167,115.3452377319336,83.29188569685219,83.29188537597656,44.56714818182366,44.4610481262207,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_17,345.3330764182016,345.5950622558594,8.400321946774412,8.919740676879883,83.29188569685219,83.29188537597656,241.0413894291466,240.45545959472656,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_18,287.5897948492531,287.62603759765625,7.784729205429741,7.6734938621521,83.29188569685219,83.29188537597656,189.2466967337657,191.41629028320312,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_19,285.0545643582441,284.86962890625,8.92860368633071,8.774038314819336,83.29188569685219,83.29188537597656,219.4904248934706,217.82440185546875,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_20,281.6422095504186,281.9911193847656,8.586986847149547,8.123941421508789,83.29188569685219,83.29188537597656,220.4620859501545,219.2263946533203,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_21,285.9140257597563,285.80157470703125,185.7570666714838,185.36141967773438,83.29188569685219,83.29188537597656,53.44015382793511,53.47111129760742,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
Test_22,298.5472252162202,298.35870361328125,102.3792749774698,98.36053466796875,83.29188569685219,83.29188537597656,44.56714818182366,44.39505386352539,0,9.249580461594838e-21,11.56539594033949,11.565261840820312
