ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,305.9453989546327,305.8211364746094,48.8595644983462,50.41793441772461,42.45503083016865,42.45503234863281,48.66559986116216,48.521663665771484,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_1,245.4836865531464,245.19287109375,40.13460124954062,39.47691345214844,42.45503083016865,42.45503234863281,42.27408224100617,42.36912155151367,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_2,233.1400067377189,233.15660095214844,36.36058536485769,37.220367431640625,42.45503083016865,42.45503234863281,61.37207011311201,61.16111755371094,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_3,236.9776991710564,236.68162536621094,122.5730174772347,122.92444610595703,42.45503083016865,42.45503234863281,37.03282596267712,37.070255279541016,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_4,238.8902925803422,238.93402099609375,31.25012760831394,30.99249267578125,42.45503083016865,42.45503234863281,54.62171791416554,54.7808837890625,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_5,245.8295050839153,246.0453338623047,35.9411368369472,35.415122985839844,42.45503083016865,42.45503234863281,63.98472273265549,63.92631530761719,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_6,245.7780789333987,245.35714721679688,140.5301870227449,139.20724487304688,42.45503083016865,42.45503234863281,49.07458450732982,49.104007720947266,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_7,276.984947323288,276.5917663574219,29.26084160235208,30.294021606445312,42.45503083016865,42.45503234863281,44.58124055698477,44.86487579345703,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_8,242.7023357425784,241.59153747558594,150.2797174241496,148.8843536376953,42.45503083016865,42.45503234863281,37.03282596267712,37.05519485473633,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_9,239.4054473437054,238.6170654296875,146.7042600759525,141.4991455078125,42.45503083016865,42.45503234863281,72.07776961084569,72.02388763427734,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_10,248.6500316468618,248.61558532714844,161.9931397770428,164.0560302734375,42.45503083016865,42.45503234863281,50.28775674792765,50.312381744384766,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_11,238.3183521172772,238.31805419921875,133.2380099228225,131.218017578125,42.45503083016865,42.45503234863281,42.62500510433256,42.62672424316406,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_12,259.4084333782515,259.429931640625,132.723493201029,132.1380615234375,42.45503083016865,42.45503234863281,42.62500510433256,42.69889831542969,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_13,229.4213728612847,229.75772094726562,128.412118706358,127.05323791503906,42.45503083016865,42.45503234863281,72.07776961084569,72.1772689819336,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_14,238.1946996610723,238.0288543701172,139.2431295683776,138.9385223388672,42.45503083016865,42.45503234863281,66.48546286087631,66.50489807128906,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_15,288.371309567561,287.7569580078125,31.33498713708196,30.932662963867188,42.45503083016865,42.45503234863281,68.84200559434849,68.86153411865234,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_16,335.7017436400017,335.88861083984375,154.7454979786843,155.4008026123047,42.45503083016865,42.45503234863281,37.03282596267712,37.022254943847656,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_17,245.5782443137736,245.4170684814453,133.9094848707583,133.913818359375,42.45503083016865,42.45503234863281,37.03282596267712,37.06474304199219,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
Test_18,228.9709155130876,229.22589111328125,122.7369941606436,122.66109466552734,42.45503083016865,42.45503234863281,66.48546286087631,66.50904083251953,0,6.789484735344613e-21,14.83816713626526,14.838006019592285
