ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,239.3819326806205,239.4452362060547,69.312290843199,69.86901092529297,42.45504225406031,42.45504379272461,61.96209416801452,61.8099479675293,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_1,237.0773397647554,236.67367553710938,140.6985238993049,137.5342254638672,42.45504225406031,42.45504379272461,45.56547704499124,45.61308288574219,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_2,318.3263627692121,317.9892272949219,55.20654882106546,55.288204193115234,42.45504225406031,42.45504379272461,66.11923014346281,65.59342193603516,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_3,261.8663884821397,262.1963806152344,59.61475271245865,56.64337158203125,42.45504225406031,42.45504379272461,62.44859807121141,62.47264099121094,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_4,249.572674112569,250.118896484375,102.852029439069,102.97233581542969,42.45504225406031,42.45504379272461,74.21912135799988,74.11087799072266,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_5,284.1556046844743,284.4019470214844,82.66897636388578,80.75641632080078,42.45504225406031,42.45504379272461,61.96209416801452,62.00400924682617,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_6,253.6009264310393,253.3506317138672,160.8796628607706,153.59239196777344,42.45504225406031,42.45504379272461,61.96209416801452,61.951438903808594,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_7,271.2579874370336,270.6260681152344,47.415786971904,48.75031661987305,42.45504225406031,42.45504379272461,82.94652285292268,83.31072235107422,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_8,323.6747155148487,323.1183166503906,78.07893166933047,82.4563980102539,42.45504225406031,42.45504379272461,45.56547704499124,45.56565475463867,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_9,336.6900507559154,336.52752685546875,62.5800338798128,63.39299774169922,42.45504225406031,42.45504379272461,48.23726077566268,48.53588104248047,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_10,262.8154698670648,262.510986328125,196.4231594999059,192.37661743164062,42.45504225406031,42.45504379272461,62.1193705118021,62.19266128540039,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_11,283.9090030338702,283.84283447265625,309.3702246850485,316.9830322265625,42.45504225406031,42.45504379272461,77.8741215015584,77.87583923339844,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_12,242.270330280322,242.41122436523438,140.549861067246,138.0885772705078,42.45504225406031,42.45504379272461,67.76951518689725,67.92964172363281,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_13,286.2049824380067,286.0372619628906,39.79633830045843,39.569557189941406,42.45504225406031,42.45504379272461,82.92546760203024,82.7638931274414,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_14,254.9041188537011,254.9460906982422,128.0286861842462,128.37332153320312,42.45504225406031,42.45504379272461,67.76951518689725,67.71754455566406,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_15,352.0654882106546,352.48553466796875,82.641540733935,82.0111083984375,42.45504225406031,42.45504379272461,61.96209416801452,61.88452911376953,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_16,250.6898784856808,250.59031677246094,47.71725988240961,49.86142349243164,42.45504225406031,42.45504379272461,71.69855261101061,71.72286987304688,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_17,270.1736420160722,268.4200744628906,206.0422189682289,210.94427490234375,42.45504225406031,42.45504379272461,61.96209416801452,61.9927864074707,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_18,266.1741014033644,266.1603698730469,86.42319140180118,88.95540618896484,42.45504225406031,42.45504379272461,58.19097112559457,58.04338455200195,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_19,271.4838528556982,271.6314697265625,94.69662892672451,90.8605728149414,42.45504225406031,42.45504379272461,61.96209416801452,61.95762634277344,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_20,282.4166323721292,282.495849609375,72.31521624699724,72.24819946289062,42.45504225406031,42.45504379272461,68.53771282551897,68.31613159179688,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_21,255.4793100258086,255.4564666748047,50.3201355192512,50.17073059082031,42.45504225406031,42.45504379272461,70.7507473018972,70.81095123291016,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_22,236.2115223265414,237.69271850585938,102.852029439069,103.25177764892578,42.45504225406031,42.45504379272461,45.56547704499124,45.6603889465332,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_23,276.1469528904712,276.3227844238281,114.8637310542619,111.30004119873047,42.45504225406031,42.45504379272461,39.75773700715559,39.866241455078125,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_24,237.7734391200181,237.6763458251953,139.7832585233889,141.12965393066406,42.45504225406031,42.45504379272461,39.75773700715559,39.70921325683594,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_25,276.5926223676948,275.5367431640625,181.7470115899586,175.83106994628906,42.45504225406031,42.45504379272461,49.86202430286383,49.87864685058594,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_26,263.3855567359257,263.8675231933594,54.86392246563368,54.99574661254883,42.45504225406031,42.45504379272461,48.1597391701041,48.107696533203125,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_27,259.6166668261761,260.3623352050781,180.4205307837339,179.1954345703125,42.45504225406031,42.45504379272461,49.86202430286383,49.852073669433594,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_28,258.3466523746176,258.4093933105469,45.12459285206134,43.569915771484375,42.45504225406031,42.45504379272461,43.64019766414322,43.28083801269531,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
Test_29,261.2257984246844,260.3847351074219,44.66999084415605,44.546165466308594,42.45504225406031,42.45504379272461,48.53235330710997,48.401153564453125,0,-2.2842741249668177e-20,26.17454802989846,26.17424201965332
