ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,276.6300686022296,276.9145202636719,149.7183684511413,149.49795532226562,46.38396320797093,46.38396453857422,42.38931254849116,42.37513732910156,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_1,264.9056719343379,264.3453369140625,46.12606680550451,46.51811599731445,46.38396320797093,46.38396453857422,43.21493833966271,43.03351974487305,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_2,262.4102913553024,262.1568298339844,43.37917023969946,44.323062896728516,46.38396320797093,46.38396453857422,72.61908407856589,72.13095092773438,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_3,269.4236442892728,269.78826904296875,133.2243558332312,133.74905395507812,46.38396320797093,46.38396453857422,42.38931254849116,42.34987258911133,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_4,273.9596094164727,274.2767639160156,32.69529176364899,33.744590759277344,46.38396320797093,46.38396453857422,66.94370431622362,67.26820373535156,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_5,335.333338437666,334.9187927246094,46.16345604148802,46.738525390625,46.38396320797093,46.38396453857422,74.42691106210953,75.02931213378906,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_6,276.1635326064764,276.1175842285156,32.44033035240312,32.54571533203125,46.38396320797093,46.38396453857422,68.64740291559477,68.89959716796875,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_7,294.5543152027441,295.94366455078125,33.3671495365266,32.70017623901367,46.38396320797093,46.38396453857422,48.92745212136062,49.754981994628906,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_8,271.3664808689616,271.67218017578125,177.7498315570256,187.9510040283203,46.38396320797093,46.38396453857422,48.98423782106252,49.17776870727539,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_9,274.486504144718,275.2731018066406,45.61780289109397,46.367759704589844,46.38396320797093,46.38396453857422,66.22361060067786,66.4770278930664,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_10,266.2625311364286,266.6834716796875,148.4147219159623,150.64895629882812,46.38396320797093,46.38396453857422,40.0905763812324,40.23715591430664,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_11,265.6192576258729,265.2207336425781,153.5658867246519,154.38404846191406,46.38396320797093,46.38396453857422,48.98423782106252,48.99271774291992,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_12,254.2766650332803,254.4809112548828,66.38682163420312,67.52368927001953,46.38396320797093,46.38396453857422,60.68528216750378,59.960147857666016,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_13,278.4502735922251,278.37286376953125,37.09663011964556,36.29899215698242,46.38396320797093,46.38396453857422,67.34184225570665,67.34578704833984,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_14,252.4800675813631,252.26919555664062,66.1275215402834,66.7915267944336,46.38396320797093,46.38396453857422,47.3356660133121,47.0905876159668,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_15,259.0414318673691,259.40179443359375,40.47761239740292,38.308937072753906,46.38396320797093,46.38396453857422,37.69702723671853,37.65777587890625,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_16,280.116072522357,279.3461608886719,207.2726530278901,182.64915466308594,46.38396320797093,46.38396453857422,60.4980807709584,60.517669677734375,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_17,280.0934858507902,279.86163330078125,60.2769355629058,59.6010627746582,46.38396320797093,46.38396453857422,58.43120891012292,56.144405364990234,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_18,267.0787139123688,267.1825866699219,152.8538323328842,153.291015625,46.38396320797093,46.38396453857422,42.38931254849116,42.4231071472168,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_19,268.1522826575197,268.00384521484375,141.3319500592103,143.4983367919922,46.38396320797093,46.38396453857422,64.33143452162196,64.27086639404297,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_20,297.6978184082649,298.4436340332031,35.88269222916411,35.331485748291016,46.38396320797093,46.38396453857422,60.88779656172159,60.8588752746582,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_21,277.4158805994528,277.1426086425781,160.535342398628,168.38330078125,46.38396320797093,46.38396453857422,36.25709502225489,36.29628372192383,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_22,274.7488668381723,274.58319091796875,43.10136694025889,43.211021423339844,46.38396320797093,46.38396453857422,41.99844828290253,41.628665924072266,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_23,260.9055341173589,260.9013977050781,45.71019131038425,46.162757873535156,46.38396320797093,46.38396453857422,80.80873045040632,80.712890625,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_24,274.4380129854221,274.4823913574219,46.63611723631018,48.02618408203125,46.38396320797093,46.38396453857422,67.95193760463881,67.78691101074219,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_25,277.4132008248602,277.3390197753906,61.98229307035812,62.403533935546875,46.38396320797093,46.38396453857422,71.53186124382376,71.45695495605469,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_26,263.7959900363429,263.698974609375,35.30373330883254,35.79877853393555,46.38396320797093,46.38396453857422,54.7451151537425,54.67034912109375,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_27,262.4557199150639,262.30889892578125,162.2450385887541,159.76669311523438,46.38396320797093,46.38396453857422,52.81759157172608,52.72309875488281,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_28,376.0295438768427,375.978515625,48.4664032831067,50.05328369140625,46.38396320797093,46.38396453857422,79.18836008003593,78.92723846435547,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_29,268.5976356731594,268.7220458984375,41.38490750949406,40.63486862182617,46.38396320797093,46.38396453857422,48.81758136306097,48.9651985168457,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_30,286.5088662256524,286.2950439453125,84.44773673894402,83.53986358642578,46.38396320797093,46.38396453857422,36.25709502225489,36.26117706298828,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_31,271.7110233165911,272.035400390625,42.7971487198334,42.52812194824219,46.38396320797093,46.38396453857422,66.41017395565356,66.16565704345703,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_32,264.5847370247866,264.5719909667969,41.08171015558006,40.57590103149414,46.38396320797093,46.38396453857422,63.77199967332272,63.98032760620117,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_33,264.1896616848381,264.1651916503906,133.1502154028339,136.8170166015625,46.38396320797093,46.38396453857422,52.81759157172608,52.73818588256836,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_34,266.6382100126588,266.5791015625,151.8743109151048,149.80560302734375,46.38396320797093,46.38396453857422,40.0905763812324,40.19364929199219,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_35,282.2684419535302,282.4747009277344,132.4717219976316,133.3798828125,46.38396320797093,46.38396453857422,60.4980807709584,60.515689849853516,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_36,286.2646239127772,286.280029296875,50.77190269100413,51.40035629272461,46.38396320797093,46.38396453857422,69.48578953815999,70.00738525390625,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_37,276.4807668749235,276.4507141113281,48.54194740495733,51.43743896484375,46.38396320797093,46.38396453857422,43.99322144636368,44.14190673828125,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_38,274.5640899995917,274.4608459472656,146.4923026665033,143.7248077392578,46.38396320797093,46.38396453857422,42.38931254849116,42.34946823120117,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_39,269.9165952060109,269.41644287109375,62.50216934133693,61.349822998046875,46.38396320797093,46.38396453857422,60.4980807709584,60.48617172241211,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_40,280.0992282249173,279.72808837890625,40.61006982726939,40.58379364013672,46.38396320797093,46.38396453857422,61.4076728327004,61.7219352722168,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_41,273.1907693250031,272.9644470214844,40.34553779247826,40.51347351074219,46.38396320797093,46.38396453857422,78.41569173914819,78.01864624023438,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_42,308.9185450610478,308.93408203125,154.6815662134019,157.42262268066406,46.38396320797093,46.38396453857422,52.81759157172608,52.766944885253906,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_43,267.0787139123688,267.06024169921875,41.38490750949406,41.06511306762695,46.38396320797093,46.38396453857422,65.45872636694027,65.2201919555664,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_44,281.1069510800768,281.3171081542969,96.88967495610277,97.17100524902344,46.38396320797093,46.38396453857422,42.38931254849116,42.341819763183594,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_45,336.3165604965495,335.62762451171875,158.8192657928049,158.8074493408203,46.38396320797093,46.38396453857422,66.63017068888072,66.60082244873047,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_46,274.1410684388909,274.8289794921875,35.61433194495488,36.529170989990234,46.38396320797093,46.38396453857422,72.77859447098697,71.90882873535156,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_47,281.6660031034342,281.3663330078125,40.36429621462698,39.1512336730957,46.38396320797093,46.38396453857422,39.78878271877169,40.341461181640625,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_48,274.6192167912124,274.5926208496094,49.26829392788599,50.97829818725586,46.38396320797093,46.38396453857422,48.40042978480134,48.983299255371094,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_49,276.9718036669525,276.9918212890625,80.73650414471804,77.98921203613281,46.38396320797093,46.38396453857422,73.22509596145208,73.28118896484375,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_50,264.5146800604353,265.32305908203125,160.7215229286619,168.96714782714844,46.38396320797093,46.38396453857422,60.4980807709584,60.430484771728516,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_51,261.2228959941198,261.3410339355469,159.7102270407122,158.08840942382812,46.38396320797093,46.38396453857422,64.33143452162196,64.27284240722656,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_52,375.014164522847,373.1565246582031,183.619048348238,178.04884338378906,46.38396320797093,46.38396453857422,48.98423782106252,49.085670471191406,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_53,273.7037547470293,273.6596984863281,171.4032320633754,177.7834014892578,46.38396320797093,46.38396453857422,60.4980807709584,60.4856071472168,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_54,259.1535995753196,259.119140625,91.80205908775368,91.26248168945312,46.38396320797093,46.38396453857422,48.98423782106252,49.04442596435547,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
Test_55,350.5474396667892,350.823974609375,54.10911531708114,52.978370666503906,46.38396320797093,46.38396453857422,56.5984983053616,56.07072830200195,0,1.6741172304244697e-21,15.08687574012822,15.086710929870605
