ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,128.6985339930285,128.5533905029297,3.716398699665245,3.5812952518463135,78.61081882316165,78.6108169555664,173.5739646350052,174.90049743652344,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_1,133.1115375132933,133.14068603515625,123.9747817267475,124.3439712524414,78.61081882316165,78.6108169555664,38.43155000023748,38.85893630981445,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_2,138.1416560054128,138.5380096435547,2.38327060356586,2.137035608291626,78.61081882316165,78.6108169555664,126.8707424248247,125.81767272949219,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_3,143.1938598085767,143.2250518798828,105.1836362309636,103.8788070678711,78.61081882316165,78.6108169555664,41.46313134736805,41.31398010253906,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_4,130.1928438410911,130.33078002929688,135.7166758994637,133.79473876953125,78.61081882316165,78.6108169555664,40.15642790495242,40.129859924316406,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_5,151.9297769146108,151.8068084716797,78.69728184440629,78.27080535888672,78.61081882316165,78.6108169555664,37.70612417255644,37.46440887451172,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_6,131.3090911603057,131.2841033935547,3.021046027688028,2.9017412662506104,78.61081882316165,78.6108169555664,151.2974202715954,151.06912231445312,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_7,129.631794903237,129.5489044189453,58.74146541975692,57.91166687011719,78.61081882316165,78.6108169555664,37.70612417255644,37.465782165527344,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_8,144.7111401072271,144.65573120117188,3.754200634796174,3.7185022830963135,78.61081882316165,78.6108169555664,179.193132698825,178.62425231933594,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_9,175.6105627803572,175.6079559326172,3.479850553903056,3.288269281387329,78.61081882316165,78.6108169555664,206.50126359067,204.63619995117188,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_10,131.6213079426378,131.64454650878906,3.330564213851441,3.1059114933013916,78.61081882316165,78.6108169555664,167.4769939279427,169.75474548339844,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_11,141.6716140929759,141.65518188476562,74.79543561602907,75.1898422241211,78.61081882316165,78.6108169555664,38.43155000023748,38.396881103515625,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_12,130.6414800569426,130.6904754638672,4.181917333147958,4.19639253616333,78.61081882316165,78.6108169555664,214.7752889764721,209.4004364013672,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_13,133.0052128242471,133.21652221679688,112.1367959416568,112.4298324584961,78.61081882316165,78.6108169555664,36.97683395516186,37.32786178588867,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_14,132.7967948449473,132.96141052246094,95.02966081020924,96.5240249633789,78.61081882316165,78.6108169555664,39.27910349612849,39.166194915771484,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_15,144.0614045048853,144.171630859375,4.028399594303846,4.23576021194458,78.61081882316165,78.6108169555664,171.5251472462014,169.2908172607422,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_16,129.631794903237,129.5526123046875,105.9963238643552,106.1221923828125,78.61081882316165,78.6108169555664,38.55639785338549,38.32820510864258,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_17,133.1358464675808,133.26499938964844,3.310270770662936,3.238830804824829,78.61081882316165,78.6108169555664,138.1377700269298,140.0304412841797,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_18,130.581398511843,130.68011474609375,135.7503543796489,136.9696807861328,78.61081882316165,78.6108169555664,36.26598054679172,36.520896911621094,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_19,132.4504462182737,132.40341186523438,85.50385381121657,86.16553497314453,78.61081882316165,78.6108169555664,39.27910349612849,39.15273666381836,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_20,138.4576724111504,138.50201416015625,68.86836852374701,68.7547836303711,78.61081882316165,78.6108169555664,36.26598054679172,36.4920768737793,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
Test_21,140.4500135793359,140.3280792236328,4.051931352894774,4.029560565948486,78.61081882316165,78.6108169555664,198.5267607908225,201.81369018554688,0,5.2774599679087664e-21,3.371280632844549,3.3712546825408936
