ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,257.1908560986566,257.06536865234375,28.32930091061293,28.34238624572754,39.86675139858712,39.86675262451172,76.27978378047287,76.49075317382812,0,-1.131630657013635e-20,14.86751704847074,14.86736011505127
Test_1,258.3288670423456,258.2238464355469,143.0491751398587,144.092041015625,39.86675139858712,39.86675262451172,63.25531361019233,63.28946304321289,0,-1.131630657013635e-20,14.86751704847074,14.86736011505127
Test_2,259.0299471191147,258.8468017578125,144.7210992690596,139.27333068847656,39.86675139858712,39.86675262451172,66.96437686308138,66.97583770751953,0,-1.131630657013635e-20,14.86751704847074,14.86736011505127
Test_3,279.6933061782842,279.5355224609375,41.34266915758096,42.93248748779297,39.86675139858712,39.86675262451172,72.38122218138757,72.3408203125,0,-1.131630657013635e-20,14.86751704847074,14.86736011505127
Test_4,257.1906008820287,257.3164367675781,123.0340663154886,125.1619644165039,39.86675139858712,39.86675262451172,46.9736412266732,46.91795349121094,0,-1.131630657013635e-20,14.86751704847074,14.86736011505127
Test_5,384.8107823920944,384.9161682128906,75.23097104822574,75.76509094238281,39.86675139858712,39.86675262451172,46.9736412266732,46.89485168457031,0,-1.131630657013635e-20,14.86751704847074,14.86736011505127
Test_6,261.7478765976561,261.9251708984375,37.08591102127486,35.94795227050781,39.86675139858712,39.86675262451172,40.95167728367839,40.80759811401367,0,-1.131630657013635e-20,14.86751704847074,14.86736011505127
Test_7,424.3312048266569,424.4753112792969,148.5801022908245,156.56854248046875,39.86675139858712,39.86675262451172,35.411945159051,35.33906555175781,0,-1.131630657013635e-20,14.86751704847074,14.86736011505127
Test_8,254.84324594716,255.8353271484375,39.95378026869207,42.01825714111328,39.86675139858712,39.86675262451172,78.97550941238924,78.44601440429688,0,-1.131630657013635e-20,14.86751704847074,14.86736011505127
Test_9,277.5960635387317,277.5815734863281,57.26793152027441,56.63578414916992,39.86675139858712,39.86675262451172,67.24690167013762,66.98355102539062,0,-1.131630657013635e-20,14.86751704847074,14.86736011505127
