ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,595.3791376477033,595.7619018554688,169.5711714531653,179.81692504882812,76.01729399796541,76.01729583740234,115.8619610298145,117.12152862548828,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
Test_1,585.7128883324203,585.6602783203125,210.9124344627905,205.02685546875,76.01729399796541,76.01729583740234,138.0624462007982,137.8917236328125,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
Test_2,602.3221691838172,602.9317626953125,185.947648485797,192.8960418701172,76.01729399796541,76.01729583740234,391.1319352061976,386.3229675292969,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
Test_3,524.3309335628766,524.07568359375,168.0687064715549,161.66983032226562,76.01729399796541,76.01729583740234,138.0624462007982,138.07008361816406,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
Test_4,594.97613271774,595.2146606445312,16.0321621410126,16.133726119995117,76.01729399796541,76.01729583740234,309.4256201580718,319.779541015625,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
Test_5,553.3512011894514,553.7490234375,17.09836450426481,17.60127830505371,76.01729399796541,76.01729583740234,326.8624305501213,319.6600646972656,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
Test_6,691.5584161514985,691.9829711914062,15.98912277956022,15.977988243103027,76.01729399796541,76.01729583740234,388.3578527271304,391.963134765625,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
Test_7,572.1926598325377,572.3394165039062,238.53001017294,241.73306274414062,76.01729399796541,76.01729583740234,381.6339306675014,387.1630554199219,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
Test_8,539.4357930980515,538.3065795898438,15.98716644494874,16.301549911499023,76.01729399796541,76.01729583740234,318.861021989201,317.4054260253906,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
Test_9,507.8370764535566,507.91766357421875,14.32036935597464,13.719130516052246,76.01729399796541,76.01729583740234,259.0871742702872,260.5924377441406,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
Test_10,560.3490100946866,560.3206787109375,167.6696142108146,161.6966094970703,76.01729399796541,76.01729583740234,403.834415838485,404.4107666015625,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
Test_11,580.6538070271539,581.0294799804688,17.11205884654511,17.349355697631836,76.01729399796541,76.01729583740234,435.6150716018468,438.9200439453125,0,5.76358205856139e-21,19.76876124892401,19.76871109008789
