ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,304.285908735155,303.9386291503906,60.64246095212169,59.100643157958984,37.90508274633908,37.90508270263672,58.55934029786413,59.047542572021484,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_1,284.5657376844637,284.5714416503906,79.17673347625367,79.5982437133789,37.90508274633908,37.90508270263672,44.35294517984143,44.2607421875,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_2,288.4710926600197,288.7865295410156,55.38673563140164,56.27688217163086,37.90508274633908,37.90508270263672,67.48959290389175,67.83357238769531,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_3,313.0760767232676,312.0648193359375,49.83496103719332,50.29588317871094,37.90508274633908,37.90508270263672,60.22107280997266,60.49193572998047,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_4,433.2856932203582,432.9149475097656,216.8283027642608,214.59402465820312,37.90508274633908,37.90508270263672,57.03428953845805,57.13211441040039,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_5,343.7863681219587,341.49951171875,77.56661108653486,79.91446685791016,37.90508274633908,37.90508270263672,65.68323862025159,65.51594543457031,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_6,327.6828756479622,327.3912048339844,54.33638456914055,53.013572692871094,37.90508274633908,37.90508270263672,88.63159446920974,88.35852813720703,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_7,292.3271060899945,292.5359802246094,68.17583738841438,68.30538940429688,37.90508274633908,37.90508270263672,58.54799741382244,58.69017028808594,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_8,304.4101133154116,303.2218017578125,112.9524392872132,133.94349670410156,37.90508274633908,37.90508270263672,65.68323862025159,66.04994201660156,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_9,299.8304238835767,301.1210021972656,60.20235705130386,57.125423431396484,37.90508274633908,37.90508270263672,81.33131429997391,81.02132415771484,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_10,286.7418699878631,286.8583984375,142.8613559283583,136.76771545410156,37.90508274633908,37.90508270263672,44.35294517984143,44.242889404296875,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_11,255.9998185138553,256.3603515625,40.52528895997096,40.31627655029297,37.90508274633908,37.90508270263672,79.5005728156441,79.80781555175781,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_12,420.4875171561121,419.88232421875,222.973877338052,223.04188537597656,37.90508274633908,37.90508270263672,44.35294517984143,44.333736419677734,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_13,289.8152244189608,290.2868957519531,55.01298760222774,54.41518020629883,37.90508274633908,37.90508270263672,91.55465568675493,90.92479705810547,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_14,323.9516339424462,323.7013244628906,85.33081521307608,89.329833984375,37.90508274633908,37.90508270263672,71.53219677635235,71.16439056396484,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_15,289.4074477376618,288.9032897949219,90.14360091196788,90.61167907714844,37.90508274633908,37.90508270263672,78.3651501230703,78.65776062011719,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_16,311.1347421195313,311.4880065917969,221.3796349859916,214.08358764648438,37.90508274633908,37.90508270263672,67.26897380928075,66.99736022949219,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_17,327.1435215117796,325.8013916015625,239.7749571806128,270.08148193359375,37.90508274633908,37.90508270263672,50.2019033359422,50.23786163330078,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_18,289.823731581992,290.3298034667969,58.85141956193782,62.94483947753906,37.90508274633908,37.90508270263672,71.51234672927939,70.79583740234375,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_19,292.5879924229534,292.4672546386719,45.36359614795658,44.41517639160156,37.90508274633908,37.90508270263672,66.56004355667471,66.59791564941406,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_20,303.2775263438482,303.45025634765625,41.32269370810222,42.15519714355469,37.90508274633908,37.90508270263672,71.3473077664727,70.94052124023438,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_21,301.4087861979787,300.3817443847656,52.45800297183562,53.28678512573242,37.90508274633908,37.90508270263672,79.26634226018307,79.19107055664062,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_22,291.7996619820556,292.1571350097656,44.72442463220698,45.43310546875,37.90508274633908,37.90508270263672,76.23892650945429,76.56607818603516,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_23,305.0237633420673,304.8267822265625,152.6661448940008,147.9294891357422,37.90508274633908,37.90508270263672,71.53219677635235,71.315185546875,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_24,294.9529837456471,294.86676025390625,55.17972799764068,55.12651062011719,37.90508274633908,37.90508270263672,109.9840065335012,109.79917907714844,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_25,271.5588525538504,271.2682189941406,45.71352412064292,46.64159393310547,37.90508274633908,37.90508270263672,79.06217034743254,78.38801574707031,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_26,384.3558943296923,381.0921630859375,94.59908576354624,92.30309295654297,37.90508274633908,37.90508270263672,65.68323862025159,65.58936309814453,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_27,301.3696532480349,300.5820007324219,115.9923322103878,118.6815185546875,37.90508274633908,37.90508270263672,57.03428953845805,57.23018264770508,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_28,297.5215798368893,297.78070068359375,48.39554905230204,49.500389099121094,37.90508274633908,37.90508270263672,57.45000623858622,58.42812728881836,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_29,284.2214811537981,284.0423889160156,45.92847177323306,47.251808166503906,37.90508274633908,37.90508270263672,75.68596091242159,75.06805419921875,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_30,409.8115946960674,407.75872802734375,52.17216229398487,54.58601379394531,37.90508274633908,37.90508270263672,109.1650503056907,108.7778091430664,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_31,278.5483377003437,278.9096984863281,184.8028039609351,188.8549346923828,37.90508274633908,37.90508270263672,79.95031816789736,79.87782287597656,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_32,269.3010514853507,268.805419921875,43.48975170426833,40.943939208984375,37.90508274633908,37.90508270263672,109.4372795226914,108.76223754882812,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_33,280.295141842765,279.955078125,47.75354181554202,47.04832458496094,37.90508274633908,37.90508270263672,78.79617971665475,79.79267120361328,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_34,293.741563729994,294.0527038574219,162.9365592495548,164.1156768798828,37.90508274633908,37.90508270263672,57.03428953845805,57.02691650390625,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_35,283.3650934086501,283.672119140625,42.49157790859904,41.12708282470703,37.90508274633908,37.90508270263672,87.4859631809984,87.97319030761719,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_36,271.5934483501775,271.9552307128906,39.47890790712447,38.683189392089844,37.90508274633908,37.90508270263672,79.2204035798142,79.74846649169922,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_37,250.6828416193101,251.33697509765625,70.53459012488516,71.66336059570312,37.90508274633908,37.90508270263672,65.68323862025159,64.95503234863281,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
Test_38,266.2203241796259,266.05889892578125,40.2921926929141,38.99793243408203,37.90508274633908,37.90508270263672,70.17502070076337,70.78033447265625,0,3.239247033575899e-20,33.00835970553873,33.007991790771484
