ID,Actual cost_equipment_envelope_total_cost_per_m_sq ,Predicted cost_equipment_envelope_total_cost_per_m_sq ,Actual cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Predicted cost_equipment_heating_and_cooling_total_cost_per_m_sq ,Actual cost_equipment_lighting_total_cost_per_m_sq ,Predicted cost_equipment_lighting_total_cost_per_m_sq ,Actual cost_equipment_ventilation_total_cost_per_m_sq ,Predicted cost_equipment_ventilation_total_cost_per_m_sq ,Actual cost_equipment_renewables_total_cost_per_m_sq ,Predicted cost_equipment_renewables_total_cost_per_m_sq ,Actual cost_equipment_shw_total_cost_per_m_sq ,Predicted cost_equipment_shw_total_cost_per_m_sq 
Test_0,276.5253093686296,276.19281005859375,57.06515324075403,57.69888687133789,37.90519394757242,37.90519332885742,44.82918130166113,45.5091438293457,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_1,401.8509479648186,402.0152587890625,174.1215015584076,185.3738250732422,37.90519394757242,37.90519332885742,36.86391608525462,36.94491195678711,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_2,288.4196120091494,288.202392578125,274.6399073568961,277.2415466308594,37.90519394757242,37.90519332885742,56.84534918219491,56.898094177246094,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_3,260.94633782193,260.60540771484375,60.11018914633718,60.17866897583008,37.90519394757242,37.90519332885742,72.50375644817058,72.50086212158203,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_4,307.8558417155563,307.7074890136719,40.20244942752048,40.65641403198242,37.90519394757242,37.90519332885742,64.09122665977586,64.3687744140625,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_5,269.4271376662488,268.96929931640625,46.19872966652949,47.249732971191406,37.90519394757242,37.90519332885742,49.97655210696068,50.05280685424805,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_6,274.4449867766644,274.3214416503906,186.1268227945422,177.44480895996094,37.90519394757242,37.90519332885742,36.86391608525462,36.868141174316406,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_7,238.0698077272771,238.06468200683594,47.97949346170656,47.966060638427734,37.90519394757242,37.90519332885742,57.56537495892631,57.884944915771484,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_8,273.3596842988442,271.6763000488281,86.34311764461927,86.17320251464844,37.90519394757242,37.90519332885742,56.84534918219491,56.6441535949707,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_9,253.8807060527465,253.7965850830078,42.45472323510739,42.794437408447266,37.90519394757242,37.90519332885742,63.36322540922156,62.84294509887695,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_10,262.3181193194687,262.4081726074219,75.06260746950976,75.12267303466797,37.90519394757242,37.90519332885742,68.60470680563132,68.5504379272461,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_11,322.4098053665368,322.37847900390625,50.69370671311582,48.283443450927734,37.90519394757242,37.90519332885742,78.4745151709463,78.12830352783203,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_12,256.4491276426733,256.52850341796875,94.77096034275397,94.78678131103516,37.90519394757242,37.90519332885742,68.60470680563132,68.58094787597656,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_13,254.0912585616712,254.187744140625,298.7322186811118,274.0877990722656,37.90519394757242,37.90519332885742,56.84534918219491,56.81748962402344,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_14,228.6376933653628,228.6023406982422,138.9678460797356,146.52713012695312,37.90519394757242,37.90519332885742,36.86391608525462,36.85136032104492,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_15,255.4429418651762,256.04644775390625,34.71532343736541,36.08383560180664,37.90519394757242,37.90519332885742,44.7867517809233,45.66777801513672,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_16,244.3391681899822,244.7249755859375,42.46174165207155,41.155879974365234,37.90519394757242,37.90519332885742,73.72208982935676,73.44383239746094,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_17,261.9448671445571,262.31781005859375,40.50902664127275,41.745121002197266,37.90519394757242,37.90519332885742,65.12261493455325,64.29237365722656,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_18,280.0501497793984,279.9444274902344,177.6670782011159,187.39707946777344,37.90519394757242,37.90519332885742,52.45979563645876,52.46445083618164,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_19,234.5334826342033,234.93252563476562,134.2115925107111,134.5558624267578,37.90519394757242,37.90519332885742,62.01600837105732,61.88785171508789,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_20,249.8192757631731,249.57717895507812,180.5331444741132,180.61807250976562,37.90519394757242,37.90519332885742,62.01600837105732,62.08281707763672,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_21,264.4035462146806,264.3094482421875,92.4938030568396,91.0617904663086,37.90519394757242,37.90519332885742,56.84534918219491,56.771263122558594,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_22,295.6016856961472,295.5393371582031,174.3655510573883,176.24191284179688,37.90519394757242,37.90519332885742,68.60470680563132,68.66158294677734,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_23,253.1281403428177,253.333984375,85.44093204577284,83.07066345214844,37.90519394757242,37.90519332885742,48.62327370869103,48.536109924316406,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_24,390.4798364070809,390.8617858886719,156.4264772970162,145.5514373779297,37.90519394757242,37.90519332885742,36.86391608525462,36.897483825683594,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_25,243.8631919122315,244.09556579589844,96.1963370243826,94.60838317871094,37.90519394757242,37.90519332885742,68.60470680563132,68.5159912109375,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_26,253.423551893218,253.54983520507812,151.0672779069805,156.15003967285156,37.90519394757242,37.90519332885742,48.62327370869103,48.607059478759766,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_27,228.6963928526993,229.1838836669922,64.39620877876354,64.3041763305664,37.90519394757242,37.90519332885742,56.84534918219491,56.76893997192383,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_28,263.0221941485544,262.5677490234375,42.30542236514271,39.91537094116211,37.90519394757242,37.90519332885742,58.55592880773047,58.48080062866211,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_29,231.5436370074746,232.072509765625,164.8702709427967,163.60218811035156,37.90519394757242,37.90519332885742,56.84534918219491,56.893463134765625,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_30,241.2229910578988,241.38198852539062,34.83782671528515,33.78379440307617,37.90519394757242,37.90519332885742,50.6113998232635,50.80855941772461,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
Test_31,269.7729542112097,269.7702941894531,40.15587266039475,39.674312591552734,37.90519394757242,37.90519332885742,46.05676623248187,46.61475372314453,0,1.0270934452802587e-20,26.41221714982087,26.41189956665039
